Provinsi/Kabupaten/Kota,Unnamed: 1_x,Unnamed: 2_x,Unnamed: 1_y,Unnamed: 2_y,Unnamed: 3_x,Unnamed: 1,Unnamed: 2,Unnamed: 3_y
,Indeks Pembangunan Gender (IPG),,Indeks Pembangunan Gender (IPG),,,Indeks Pembangunan Gender (IPG),,
,Indeks Pembangunan Gender (IPG),,Indeks Pembangunan Gender (IPG),,,2016,2017.0,2018.0
,Indeks Pembangunan Gender (IPG),,2019,2020.0,2021.0,Indeks Pembangunan Gender (IPG),,
,Indeks Pembangunan Gender (IPG),,2019,2020.0,2021.0,2016,2017.0,2018.0
,2022,2023.0,Indeks Pembangunan Gender (IPG),,,Indeks Pembangunan Gender (IPG),,
Kota Salatiga,95.44,95.45,95,95.18,95.37,-,95.34,95.12
Kota Semarang,95.93,95.96,95.55,95.49,95.67,-,95.69,95.82
Kota Pekalongan,95.32,95.65,94.92,95.17,95.42,-,94.43,94.59
Kota Tegal,93.39,93.64,93.37,93.18,93.26,-,92.92,93.45
D I YOGYAKARTA,94.99,94.93,94.77,94.8,94.88,94.27,94.39,94.73
Kulon Progo,95.54,95.27,95.05,95.07,95.09,-,94.93,95.03
Bantul,95.36,95.54,95.18,95.12,95.19,-,94.98,95.11
Gunung Kidul,85.82,85.93,84.62,84.73,85.31,-,84.03,84.59
Sleman,96.36,96.4,96.04,96.2,96.25,-,95.62,96.01
Kota Yogyakarta,98.48,98.47,98.09,98.16,98.32,-,98.26,98.48
JAWA TIMUR,92.08,92.15,90.91,91.07,91.67,90.72,90.76,90.77
Pacitan,85.65,86.16,85.13,84.87,85.09,-,84.41,84.44
Ponorogo,93.96,94.4,93.34,93.56,93.65,-,93.3,93.0
Trenggalek,92.41,92.57,92.74,92.93,92.56,-,91.84,92.52
Tulungagung,95.63,95.45,95.63,95.48,95.52,-,95.3,95.75
Blitar,93.22,93.4,92.73,92.7,92.76,-,92.5,92.33
Kediri,92.85,93.25,92.7,93.07,92.9,-,92.81,92.81
Malang,88.35,88.6,88.66,88.68,88.34,-,88.33,88.38
Lumajang,88.77,89.06,88.04,88.09,88.39,-,87.72,87.88
Jember,85.31,85.52,84.3,84.66,84.82,-,84.32,84.23
Banyuwangi,87.26,87.5,86.81,86.66,86.96,-,86.2,86.44
Bondowoso,91.1,91.17,90.42,90.68,90.75,-,89.48,89.89
Situbondo,87.32,87.59,87.11,87.06,87.16,-,86.78,86.69
Probolinggo,86.02,86.34,84.95,85.38,85.39,-,84.57,84.86
Pasuruan,91.02,91.08,90.68,90.48,90.89,-,90.65,90.41
Sidoarjo,94.68,94.72,93.79,94.13,94.26,-,93.33,93.33
Mojokerto,91.37,91.63,90.65,91.1,91.24,-,90.39,90.15
Jombang,90.51,90.65,90.37,90.15,90.23,-,89.91,89.94
Nganjuk,93.89,94.08,93.27,93.26,93.76,-,93.48,93.26
Madiun,92.14,92.31,91.81,91.79,91.77,-,91.61,91.13
Magetan,93.88,94.07,93.16,93.36,93.65,-,93.2,92.93
Ngawi,92.53,92.89,92.52,92.19,92.32,-,91.7,91.72
Bojonegoro,90.63,90.87,89.98,90.17,90.21,-,89.78,89.77
Tuban,88.39,88.52,87.63,87.78,88.06,-,87.32,87.34
Lamongan,89.5,89.84,88.4,88.59,88.99,-,87.98,88.0
Gresik,90.78,91.01,90.05,89.93,90.2,-,89.57,89.72
Bangkalan,87.35,87.56,86.93,86.88,86.95,-,86.92,86.38
Sampang,86.79,86.97,84.79,85.5,86.32,-,84.15,84.33
Pamekasan,86.83,86.97,86.05,86.17,86.5,-,85.68,85.5
Sumenep,81.88,82.29,80.72,80.81,81.18,-,79.65,80.11
Kota Kediri,94.53,94.58,94.53,94.39,94.21,-,94.64,94.48
Kota Blitar,97.37,97.49,97.8,97.46,97.36,-,97.91,97.6
Kota Malang,95.54,95.67,94.72,94.97,95.24,-,94.96,94.71
Kota Probolinggo,96.24,96.48,95.91,95.87,96.01,-,96.07,95.56
Kota Pasuruan,96.74,96.81,96.18,96.16,96.27,-,96.36,96.02
Kota Mojokerto,93.63,93.89,93.18,93.26,93.47,-,93.4,93.05
Kota Madiun,94.57,95.18,94.05,94.38,94.42,-,93.66,93.47
Kota Surabaya,94.21,94.36,93.6,93.58,93.9,-,93.66,93.57
Kota Batu,90.1,90.54,89.71,89.72,89.89,-,89.27,89.27
BANTEN,92.18,92.48,91.67,91.74,91.83,90.97,91.14,91.3
Pandeglang,86.93,87.09,86.68,86.71,86.83,-,86.13,86.47
Lebak,80.2,80.75,79.63,79.81,79.87,-,78.56,79.26
Tangerang,91.24,91.67,90.97,90.98,91.08,-,91.2,90.9
Serang,92.32,92.49,92.4,92.14,91.98,-,92.28,92.18
Kota Tangerang,94.73,94.89,94.89,95.06,94.72,-,94.07,94.51
Kota Cilegon,87.57,88.05,87.16,87.22,87.25,-,86.35,86.75
Kota Serang,92.63,92.49,91.96,92.28,92.47,-,91.15,91.16
Kota Tangerang Selatan,93.96,94.23,93.56,93.58,93.8,-,92.83,93.16
BALI,94.36,94.59,93.72,93.79,94.01,93.2,93.7,93.71
Jembrana,94.43,94.52,93.52,93.38,93.86,-,92.65,93.21
Tabanan,95.45,95.72,95.35,95.36,95.42,-,95.13,95.34
Badung,95.65,95.94,95.5,95.51,95.53,-,94.52,94.9
Gianyar,94.72,95.09,94.26,94.63,94.7,-,93.61,94.16
Klungkung,91.37,91.79,91.1,91.12,91.18,-,91.03,91.06
Bangli,91.86,92.23,91.25,91.54,91.58,-,90.72,91.23
Karangasem,89.9,90.17,88.87,88.93,88.96,-,89.02,89.22
Buleleng,91.85,91.99,91.94,91.59,91.65,-,91.4,91.92
Kota Denpasar,96.92,96.68,96.92,96.77,96.88,-,96.88,96.89
NUSA TENGGARA BARAT,91.08,91.39,90.4,90.45,90.53,90.05,90.36,90.37
Lombok Barat,90.41,90.65,89.05,88.85,89.22,-,88.93,88.71
Lombok Tengah,88.33,88.72,87.26,87.17,87.19,-,86.4,86.81
Lombok Timur,92.53,92.25,91.16,91.27,91.33,-,91.12,91.14
Sumbawa,94.59,94.79,93.65,93.67,93.48,-,93.4,93.76
Dompu,91.17,91.33,91.12,91.02,90.66,-,90.54,90.72
Bima,92.44,92.2,91.49,91.5,91.87,-,91.08,91.11
Sumbawa Barat,93.82,93.48,92.57,92.77,92.8,-,92.38,92.18
